Date,Source,Day_of_Year,Day_Name,Month_Name,Season,Production,Start_Hour,End_Hour
12/18/2022,Wind,352,Sunday,December,Winter,11400,21,22
1/29/2024,Wind,29,Monday,January,Winter,7917,14,15
8/1/2024,Solar,214,Thursday,August,Summer,8835,15,16
11/10/2020,Wind,315,Tuesday,November,Fall,989,1,2
12/19/2022,Wind,353,Monday,December,Winter,12526,1,2
10/18/2024,Solar,292,Friday,October,Fall,4855,13,14
4/10/2020,Solar,101,Friday,April,Spring,3692,17,18
1/25/2023,Wind,25,Wednesday,January,Winter,2156,0,1
12/12/2021,Wind,346,Sunday,December,Winter,5813,12,13
10/11/2020,Wind,285,Sunday,October,Fall,6106,13,14
1/8/2024,Wind,8,Monday,January,Winter,5515,23,0
1/8/2020,Wind,8,Wednesday,January,Winter,2785,18,19
1/29/2022,Wind,29,Saturday,January,Winter,8498,20,21
6/2/2021,Solar,153,Wednesday,June,Summer,5561,15,16
6/11/2024,Wind,163,Tuesday,June,Summer,2328,7,8
6/5/2020,Wind,157,Friday,June,Summer,6664,21,22
5/2/2021,Solar,122,Sunday,May,Spring,4993,13,14
1/13/2022,Wind,13,Thursday,January,Winter,3276,0,1
7/24/2020,Wind,206,Friday,July,Summer,1739,3,4
8/29/2024,Wind,242,Thursday,August,Summer,2083,5,6
1/3/2024,Wind,3,Wednesday,January,Winter,17272,0,1
4/2/2024,Wind,93,Tuesday,April,Spring,12285,2,3
7/29/2020,Solar,211,Wednesday,July,Summer,3480,16,17
11/5/2024,Wind,310,Tuesday,November,Fall,1690,6,7
10/24/2022,Wind,297,Monday,October,Fall,11508,8,9
2/27/2023,Wind,58,Monday,February,Winter,15692,10,11
4/2/2020,Solar,93,Thursday,April,Spring,4169,15,16
5/13/2020,Wind,134,Wednesday,May,Spring,3174,3,4
11/22/2023,Wind,326,Wednesday,November,Fall,7314,14,15
9/11/2021,Solar,254,Saturday,September,Fall,4969,11,12
4/7/2025,Solar,97,Monday,April,Spring,9862,15,16
7/27/2025,Wind,208,Sunday,July,Summer,3862,22,23
3/11/2021,Wind,70,Thursday,March,Spring,16144,13,14
4/30/2022,Solar,120,Saturday,April,Spring,8188,16,17
1/19/2023,Wind,19,Thursday,January,Winter,1710,23,0
9/11/2022,Wind,254,Sunday,September,Fall,472,4,5
9/25/2021,Solar,268,Saturday,September,Fall,3402,16,17
8/8/2020,Solar,221,Saturday,August,Summer,3996,12,13
6/8/2021,Wind,159,Tuesday,June,Summer,1148,1,2
6/10/2024,Wind,162,Monday,June,Summer,4062,21,22
6/18/2020,Wind,170,Thursday,June,Summer,1443,0,1
5/30/2023,Wind,150,Tuesday,May,Spring,13363,17,18
2/17/2022,Wind,48,Thursday,February,Winter,15609,1,2
5/11/2022,Wind,131,Wednesday,May,Spring,8878,19,20
5/7/2024,Wind,128,Tuesday,May,Spring,2974,7,8
11/22/2025,Wind,326,Saturday,November,Fall,12324,12,13
4/9/2021,Wind,99,Friday,April,Spring,5279,21,22
12/24/2021,Wind,358,Friday,December,Winter,3872,11,12
3/11/2023,Wind,70,Saturday,March,Spring,6406,12,13
8/13/2021,Solar,225,Friday,August,Summer,5323,13,14
2/1/2021,Wind,32,Monday,February,Winter,7166,15,16
9/11/2023,Solar,254,Monday,September,Fall,7117,13,14
7/1/2020,Wind,183,Wednesday,July,Summer,5874,13,14
3/10/2025,Solar,69,Monday,March,Spring,4807,9,10
6/23/2023,Solar,174,Friday,June,Summer,7976,15,16
2/9/2023,Solar,40,Thursday,February,Winter,5168,13,14
5/24/2020,Wind,145,Sunday,May,Spring,4384,0,1
7/26/2021,Wind,207,Monday,July,Summer,1465,23,0
9/28/2020,Wind,272,Monday,September,Fall,3962,6,7
8/25/2021,Wind,237,Wednesday,August,Summer,6786,0,1
